"product_category_name_english","customer_state","customer_state_full","total_payment","rank","pct_of_category"
"home_comfort_2","SP","São Paulo",881.22,1,51.52
"home_comfort_2","RJ","Rio de Janeiro",280,2,16.37
"home_comfort_2","GO","Goiás",200.22,3,11.71
"home_confort","SP","São Paulo",38846.88,1,46.42
"home_confort","RJ","Rio de Janeiro",12198.42,2,14.58
"home_confort","MG","Minas Gerais",11307.36,3,13.51
"home_construction","SP","São Paulo",55059.84,1,40.9
"home_construction","RS","Rio Grande do Sul",14748.22,2,10.96
"home_construction","RJ","Rio de Janeiro",12505.4,3,9.29
"housewares","SP","São Paulo",434929.47,1,40.66
"housewares","MG","Minas Gerais",135835.48,2,12.7
"housewares","RJ","Rio de Janeiro",129491.59,3,12.1
"industry_commerce_and_business","SP","São Paulo",24682.11,1,44.66
"industry_commerce_and_business","RJ","Rio de Janeiro",5579.88,2,10.1
"industry_commerce_and_business","RS","Rio Grande do Sul",5271.5,3,9.54
"kitchen_dining_laundry_garden_furniture","SP","São Paulo",39602.85,1,53.95
"kitchen_dining_laundry_garden_furniture","RJ","Rio de Janeiro",10676.84,2,14.54
"kitchen_dining_laundry_garden_furniture","PR","Paraná",5978.73,3,8.14
"la_cuisine","SP","São Paulo",1235.04,1,42.39
"la_cuisine","SC","Santa Catarina",546.3,2,18.75
"la_cuisine","RS","Rio Grande do Sul",516.64,3,17.73
"luggage_accessories","SP","São Paulo",76327.36,1,41.25
"luggage_accessories","MG","Minas Gerais",29162.78,2,15.76
"luggage_accessories","RJ","Rio de Janeiro",19734.84,3,10.66
"market_place","SP","São Paulo",16021.91,1,35.91
"market_place","MA","Maranhão",4051.03,2,9.08
"market_place","RJ","Rio de Janeiro",3892.08,3,8.72
"music","SP","São Paulo",2317.48,1,33.58
"music","GO","Goiás",1244.12,2,18.03
"music","RJ","Rio de Janeiro",1153.57,3,16.71
"musical_instruments","SP","São Paulo",77196.37,1,34.91
"musical_instruments","MG","Minas Gerais",33804.81,2,15.29
"musical_instruments","RJ","Rio de Janeiro",23818.69,3,10.77
"office_furniture","SP","São Paulo",226498.76,1,35.61
"office_furniture","RJ","Rio de Janeiro",124116.6,2,19.51
"office_furniture","MG","Minas Gerais",56042.37,3,8.81
"party_supplies","SP","São Paulo",1929.44,1,32.49
"party_supplies","MG","Minas Gerais",1297.26,2,21.84
"party_supplies","RS","Rio Grande do Sul",730.72,3,12.3
"perfumery","SP","São Paulo",202988.29,1,40.9
"perfumery","RJ","Rio de Janeiro",67600.6,2,13.62
"perfumery","MG","Minas Gerais",58566.56,3,11.8
"pet_shop","SP","São Paulo",130905.53,1,42.54
"pet_shop","MG","Minas Gerais",45248.85,2,14.7
"pet_shop","RJ","Rio de Janeiro",33940.18,3,11.03
"security_and_services","RO","Rondônia",209.06,1,64.42
"security_and_services","DF","Federal District",115.45,2,35.58
"signaling_and_security","MT","Mato Grosso",19457.04,1,28.5
"signaling_and_security","PB","Paraíba",17069.76,2,25.01
"signaling_and_security","SP","São Paulo",14658.63,3,21.47
"small_appliances","SP","São Paulo",85865.61,1,39.57
"small_appliances","RJ","Rio de Janeiro",32209.48,2,14.84
"small_appliances","MG","Minas Gerais",19473.13,3,8.97
"small_appliances_home_oven_and_coffee","SP","São Paulo",18268.64,1,36.33
"small_appliances_home_oven_and_coffee","PR","Paraná",8924.98,2,17.75
"small_appliances_home_oven_and_coffee","MG","Minas Gerais",4991.66,3,9.93
"sports_leisure","SP","São Paulo",509044.62,1,37.72
"sports_leisure","RJ","Rio de Janeiro",174834.05,2,12.96
"sports_leisure","MG","Minas Gerais",153371.65,3,11.37
"stationery","SP","São Paulo",114533.08,1,37.1
"stationery","RJ","Rio de Janeiro",41973.23,2,13.6
"stationery","MG","Minas Gerais",36314.07,3,11.76
"tablets_printing_image","SP","São Paulo",3357.62,1,33.43
"tablets_printing_image","MG","Minas Gerais",1307.19,2,13.02
"tablets_printing_image","ES","Espírito Santo",1094.04,3,10.89
"telephony","SP","São Paulo",139977.31,1,29.79
"telephony","RJ","Rio de Janeiro",49568.26,2,10.55
"telephony","RS","Rio Grande do Sul",48385.1,3,10.3
"toys","SP","São Paulo",228055.94,1,37.78
"toys","RJ","Rio de Janeiro",91610.93,2,15.18
"toys","MG","Minas Gerais",74700.79,3,12.38
"watches_gifts","SP","São Paulo",492762.84,1,35.52
"watches_gifts","RJ","Rio de Janeiro",207651.19,2,14.97
"watches_gifts","MG","Minas Gerais",137957.88,3,9.94
